Accession	Length	Family	species	Genus	Host_range_isolates	Host_range_taxon	Database
uvig_146996	26102	NA	NA	NA	NA	NA	GPD
uvig_425574	27810	NA	NA	NA	14207_6#14,13470_2#84,8080_1#73,GCA_003437595,GCA_003439835,12718_7#79,12718_7#38,GCF_001078445,18391_1#2,11861_6#93	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis	GPD
uvig_194891	39848	NA	NA	NA	GCA_003479025	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_A/GCA_900066745.1	GPD
k99_92957_round1256~5466854							
NZ_LC542972.1							
k141_79251_round13~8936703							
uvig_409725	34883	NA	NA	NA	GCA_003461245,GCA_003461925,GCA_003461955,14207_7#87,21673_4#38,GCA_003467675,21673_4#12,13414_6#64	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/GCA_000436615.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/GCA_900066335.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/GCA_900066335.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_E/Eubacterium_E hallii_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/GCA_900066335.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/Blautia_A obeum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA7160/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/GCA_900066335.1	GPD
k141_1175_round8-12~1870618	NA	NA	NA	NA	NA	NA	mMGE
uvig_155044	10292	NA	NA	NA	13470_2#84,8080_1#73,18391_1#2,12718_7#38	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/NA	GPD
SRR10479830_141_11741_round347~2660002	NA	NA	NA	NA	NA	NA	mMGE
ivig_2028	54267	NA	NA	NA	GCA_003479335	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M lavalense	GPD
uvig_183664	31103	NA	NA	NA	GCA_003461485,GCA_003463575,GCA_003462185,GCA_003469265,GCA_003458325	Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii,Firmicutes/Clostridia/Oscillospirales/DTU089/Ruminococcus_E/Ruminococcus_E bromii	GPD
uvig_229184	29432	NA	NA	NA	NA	NA	GPD
k99_28041_round8-12~2244657	NA	NA	NA	NA	NA	NA	mMGE
ERR525893_119_117217_round347~3408193	NA	NA	NA	NA	NA	NA	mMGE
k141_901238_round14~1679892	NA	NA	NA	NA	NA	NA	mMGE
uvig_280063	62301	NA	NA	NA	GCA_003482095,GCA_003435675,GCA_003480555,GCA_003482385,GCA_003460565,GCA_003479155,GCA_003480845,GCA_003463065,GCA_003460955,GCA_003481455,GCF_000466565,GCA_003479865,GCA_003480245,GCA_003479105,GCA_003479185,GCA_003480905,21673_4#12,GCA_003480695,13414_6#15,GCA_003462165,GCA_003479665	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/GCA-900066135/GCA_900066135.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia_A/Blautia_A massiliensis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA7160/NA,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/GCA-900066135/GCA_900066135.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans	GPD
uvig_464579	16316	Podoviridae	NA	NA	GCA_003481065	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1	GPD
scaffold30414_1__26719__5558__25788|prophage_in_metagenomic_assembled_contigs,phage_finder,human_gut|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
uvig_197173	22245	NA	NA	NA	NA	NA	GPD
SRR3993048_141_95391_round8-12~3150041	NA	NA	NA	NA	NA	NA	mMGE
k141_152265_round13~6516253	NA	NA	NA	NA	NA	NA	mMGE
uvig_434067	35616	NA	NA	NA	11861_6#91,GCA_003435485,12718_7#73,GCF_000466465	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/GCF_000466465.2,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/GCF_000466465.2,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/GCF_000466465.2,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eisenbergiella/GCF_000466465.2	GPD
uvig_127226	55787	NA	NA	NA	NA	NA	GPD
uvig_561575	187770	NA	NA	NA	NA	NA	GPD
uvig_377127	27980	NA	NA	NA	GCA_003479805,GCA_003468085	Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA,Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA	GPD
k141_187046_round13~8465997	NA	NA	NA	NA	NA	NA	mMGE
uvig_446228	19458	NA	NA	NA	NA	NA	GPD
uvig_375573	62586	NA	NA	NA	GCA_003603335	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruthenibacterium/Ruthenibacterium lactatiformans	GPD
uvig_244285	37899	Siphoviridae	NA	NA	NA	NA	GPD
uvig_35127	43361	Siphoviridae	NA	NA	GCA_003435675,GCA_003481425,GCA_003480555	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Fusicatenibacter/Fusicatenibacter saccharivorans	GPD
SRR5930519_119_29403_round347~3436337	NA	NA	NA	NA	NA	NA	mMGE
uvig_595	57167	NA	NA	NA	GCA_003472575,GCA_003436025,GCA_003471295,GCA_003439655,GCA_003466335,GCA_003436315,GCA_003470125,GCA_003465775,GCA_003465135,GCA_003436955,GCA_003472545,GCA_003471505,GCA_003467515,GCA_003436675,GCA_003471415,GCA_003459865,GCA_003469145,GCA_003473105,GCA_003468555,GCA_003467065,GCA_003458965	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	GPD
uvig_204107	61834	NA	NA	NA	NA	NA	GPD
uvig_564940	19979	NA	NA	NA	GCA_003434675,GCA_003471015,GCA_003479845	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus/Coprococcus eutactus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena_B,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1	GPD
uvig_288752	24384	NA	NA	NA	NA	NA	GPD
k141_83055_round13~1172266	NA	NA	NA	NA	NA	NA	mMGE
k141_106413_round13~9080220	NA	NA	NA	NA	NA	NA	mMGE
uvig_233972	28127	NA	NA	NA	GCA_003479985,GCA_003478615,GCA_003481885	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_Q/GCA_000434655.1	GPD
k141_66551_round1256~5117978	NA	NA	NA	NA	NA	NA	mMGE
ERR2855877_141_262564_round1256~227980	NA	NA	NA	NA	NA	NA	mMGE
742740.PRJNA46399.GL834308__337964__52891__89687|prophage_in_EMBL_progenomes_representative_genomes,phage_finder|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
SRR10479817_141_13598_round347~658259	NA	NA	NA	NA	NA	NA	mMGE
uvig_113500	62919	NA	NA	NA	GCA_003472185,GCA_003464475,GCA_003438675,13414_6#6,GCA_003472045,GCA_003635485,14207_7#24,GCA_003471825,GCA_003463625,GCA_003469235,GCA_003437495,12718_7#61,GCA_003468605	Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides merdae,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis,Bacteroidota/Bacteroidia/Bacteroidales/Tannerellaceae/Parabacteroides/Parabacteroides distasonis	GPD
ERR1823609_141_889_round347~1656303	NA	NA	NA	NA	NA	NA	mMGE
NC_013598|ncbi_ref_viral_genome_database|MVP_viral_cluster	35525	Siphoviridae	Streptococcus virus ALQ132	Brussowvirus	NA	Streptococcus thermophilus	MVP
SRR2298580_141_1045_round8-12~3096090	NA	NA	NA	NA	NA	NA	mMGE
SRR8506024_141_122357_round8-12~4219000	NA	NA	NA	NA	NA	NA	mMGE
uvig_240697	38686	NA	NA	NA	NA	NA	GPD
uvig_289873	14969	NA	NA	NA	GCA_003474475	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/CAG-127/CAG-127 sp2	GPD
uvig_7609	21976	Myoviridae	NA	NA	13470_2#84,12718_7#79	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis	GPD
uvig_564373	10120	NA	NA	NA	NA	NA	GPD
SRR5930517_119_138379_round347~4047113	NA	NA	NA	NA	NA	NA	mMGE
ivig_3392	32550	Siphoviridae	NA	NA	GCF_000190355,13470_2#95,GCF_001244405,12718_7#51	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B fissicatena,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B sp2,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B sp2,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/GCF_000509105.1	GPD
uvig_384739	39274	NA	NA	NA	GCA_003481745,GCA_003435735,21673_4#40,20287_6#77,GCA_003435795,GCA_003461025,GCA_003471015,GCA_003435835,GCA_003462505,GCA_003461065,GCA_003481215,20287_6#43,13414_6#16	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia/GCA_000436935.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia/GCA_000436935.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena_B,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_B/Ruminococcus_B faecis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Ruminococcus_A/GCA_900066745.1,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Coprococcus_B/Coprococcus_B comes	GPD
uvig_158429	31672	NA	NA	NA	NA	NA	GPD
ERR209700_99_6759_round347~516562	NA	NA	NA	NA	NA	NA	mMGE
uvig_203119	35691	NA	NA	NA	GCA_003603335,GCF_001403575	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruthenibacterium/Ruthenibacterium lactatiformans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruthenibacterium/Ruthenibacterium lactatiformans	GPD
k141_114823_round13~4666587	NA	NA	NA	NA	NA	NA	mMGE
uvig_126596	35656	NA	NA	NA	NA	NA	GPD
k119_30446_round8-12~826346	NA	NA	NA	NA	NA	NA	mMGE
ERR1190725_119_22556_round8-12~1386737	NA	NA	NA	NA	NA	NA	mMGE
uvig_109477	49780	Siphoviridae	NA	NA	GCA_003465005	Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis	GPD
uvig_167739	29520	NA	NA	NA	NA	NA	GPD
ERR2855788_141_43244_round1256~4034266	NA	NA	NA	NA	NA	NA	mMGE
SRR10479804_141_44220_round347~1825952	NA	NA	NA	NA	NA	NA	mMGE
k141_6993_round347~4768107	NA	NA	NA	NA	NA	NA	mMGE
uvig_225422	17162	NA	NA	NA	NA	NA	GPD
uvig_292689	45600	NA	NA	NA	GCA_003481775,8080_1#80,13470_2#72,GCA_003433985,GCF_000225685	Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/NA,Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/NA,Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum,Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/NA,Firmicutes/Bacilli/Erysipelotrichales/Erysipelotrichaceae/Eubacterium_D/Eubacterium_D innocuum	GPD
uvig_238593	70520	NA	NA	NA	GCA_003458205,GCA_003439315,GCA_003470375,GCA_003436485,GCA_003465005,GCA_003457635	Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis,Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis	GPD
uvig_430004	16637	NA	NA	NA	NA	NA	GPD
ivig_2780	36262	NA	NA	NA	GCF_000209425	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Blautia/Blautia hansenii	GPD
k141_9328_round13~6336801	NA	NA	NA	NA	NA	NA	mMGE
Fusobacteriia_gi_547450323_34938_67437|pmid:26200428|MVP_viral_cluster	NA	NA	NA	NA	NA	NA	MVP
uvig_307892	15825	Podoviridae	NA	NA	GCA_003470125,GCA_003472575,18048_2#93,GCA_003462885,GCA_003462895,GCA_003466105,GCA_003457765,18048_1#93,GCA_003437435,GCA_003467065,GCA_003471415,GCA_003472545,GCA_003459865,GCA_003458965,GCA_003439655	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	GPD
k141_1755_round8-12~4079928	NA	NA	NA	NA	NA	NA	mMGE
uvig_505705	33936	NA	NA	NA	NA	NA	GPD
k141_87787_round13~2845021							
uvig_217543	54318	NA	NA	NA	NA	NA	GPD
ERR1190545_119_27549_round8-12~3071850	NA	NA	NA	NA	NA	NA	mMGE
uvig_438061	43318	NA	NA	NA	GCA_003465005	Firmicutes/Negativicutes/Selenomonadales/Selenomonadaceae/Megamonas/Megamonas funiformis	GPD
uvig_572622	15730	Myoviridae	NA	NA	GCA_003471015,GCA_003481825	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Dorea/Dorea longicatena_B,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/UBA9502/NA	GPD
uvig_164400	12267	NA	NA	NA	13470_2#84,GCA_003433765	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M bolteae	GPD
uvig_125185	46663	NA	NA	NA	NA	NA	GPD
uvig_258998	39590	Siphoviridae	NA	NA	NA	NA	GPD
uvig_162658	55581	NA	NA	NA	NA	NA	GPD
uvig_468418	31894	NA	NA	NA	NA	NA	GPD
k99_186008_round8-12~4495904	NA	NA	NA	NA	NA	NA	mMGE
uvig_391147	60332	NA	NA	NA	18048_1#58,18048_2#58	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans	GPD
uvig_426819	35051	NA	NA	NA	13470_2#84,18391_1#2,12718_7#79	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Clostridium_M/Clostridium_M clostridioformis	GPD
SRR5818486_141_135617_round347~4567324	NA	NA	NA	NA	NA	NA	mMGE
uvig_31654	36832	NA	NA	NA	NA	NA	GPD
k99_101046_round1256~4423322	NA	NA	NA	NA	NA	NA	mMGE
k141_143436_round13~4631961	NA	NA	NA	NA	NA	NA	mMGE
uvig_458992	40907	NA	NA	NA	NA	NA	GPD
k141_1751094_round14~2793922	NA	NA	NA	NA	NA	NA	mMGE
